What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
United States of America,North Carolina,40-50,11,Consulting,"1,000-3,000",IT Staff / System Administrator,100,Just me!,System Administrators,,,,Technical Support,,Consultants,Customers,,,,,,,,,No mobile app,,,,,,,,,None,10-20 hours,10-20 hours,5-10 hours,2-5 hours,5-10 hours,1-2 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,COBOL,Node.js,,,,TypeScript,,,,MongoDB,,PhoneGap,Windows 7,Very Important,Not Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Yes,It's a paycheck,"$100,000 - $120,000",iPhone,Android,,,iPad,Android Tablet,Kindle Fire,,Kindle,,,,,,"$2,001-$3,000",Agree,Neutral,Agree,Agree,Neutral,Neutral,Careers 2.0,1,Read other people's questions to solve my problems,Ask questions to solve problems,,
France,,25-29,6/10/2013,Software Products,101-999,Mobile Application Developer,31-50,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,,,Customers,,,iPhone,iPad,Android phone,Android tablet,,,,Advertising,,,Software as a service / recurring billing,,,,,5-10 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,5-10 hours,2-5 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,,,,JavaScript,,,,Objective-C,PHP,,,,,,Haskell,,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,No,I enjoy going to work,"$80,000 - $100,000",iPhone,,,,iPad,,,,,,PS3,,,,"$2,001-$3,000",Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,,5000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
India,,< 20,2/5/2013,Other,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,,Designers,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,North Carolina,25-29,2/5/2013,Other,3001,Embedded Application Developer,100,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,,,,,,,,10-20 hours,10-20 hours,2-5 hours,None,1-2 hours,5-10 hours,2-5 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,C,C++,,Java,,,,,,,,,,,,,,,,,,,,,,Linux,Somewhat Important,Somewhat Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Yes,I enjoy going to work,,,,,,,,,,,,,,,,"$501-$1,000",Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,,100,Read other people's questions to solve my problems,,Answer questions I know the answer to,
India,,20-24,<2,Web Services,1/25/2013,Full-Stack Web Developer,6/15/2013,1/3/2013,,,Product Managers,,,Sales / Marketing,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,Direct sales to consumers,Direct sales to companies,,Mobile app sales,Consulting,,,5-10 hours,1-2 hours,5-10 hours,None,2-5 hours,5-10 hours,5-10 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,phonegap,,,,,,,,,,,PhoneGap,Windows XP,Somewhat Important,Not Very Important,Don't Care,Non-Negotiable,Non-Negotiable,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Somewhat Important,Not Very Important,Not Very Important,Don't Care,,Somewhat Important,Not Very Important,Yes,It's a paycheck,Rather not say,,,,Windows Phone,,,,,,,,,,,$251-$500,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,carreers,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,25-29,11,Gaming,"1,000-3,000",Embedded Application Developer,100,9/15/2013,,Designers,Product Managers,Testers / Quality Assurance,,,Consultants,,,,,,,,,,,,,Direct sales to companies,,,,,,5-10 hours,None,10-20 hours,,5-10 hours,1-2 hours,2-5 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,,,,Don't know,,C++,,,,,,,,,,,,,,,,,,C++11,,,,,,Windows XP,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Not Very Important,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Somewhat Important,Somewhat Important,No,It's a paycheck,"$60,000 - $80,000",iPhone,,,,iPad,,,,,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Neutral,Disagree,Neutral,,50,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Canada,,40-50,11,Web Services,101-999,Full-Stack Web Developer,16-30,1/3/2013,System Administrators,,Product Managers,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,20+ hours,10-20 hours,1-2 hours,None,1-2 hours,2-5 hours,2-5 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,Don't know,,,,,,,,,Objective-C,,Python,,,,Node.js,,,,,,,Redis,MongoDB,,,Linux,Very Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Very Important,Not Very Important,Not Very Important,Don't Care,Very Important,Very Important,Very Important,Very Important,Yes,Love my job,"$120,000 - $140,000",iPhone,,,,iPad,,,,,,,,,Kobo eReader,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,25-29,2/5/2013,Finance / Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,20-24,2/5/2013,Consulting,26-100,Enterprise Level Services,6/15/2013,1/3/2013,,,,,,,Consultants,Customers,,,,,,,,,,,,Direct sales to companies,,,,,,5-10 hours,2-5 hours,2-5 hours,None,None,2-5 hours,2-5 hours,None,,"I influence purchasing decisions, but don't have final approval",,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,Java,,,,,,,,,SQL,,,,,,,,,,,,,Linux,Somewhat Important,Not Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Don't Care,Not Very Important,Don't Care,Don't Care,Don't Care,No,It's a paycheck,"$20,000 - $40,000",,Android,,,,,,,Kindle,,,Xbox,,,$100-$250,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,50,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United Kingdom,,20-24,2/5/2013,Other,1/25/2013,Desktop Software Developer,6/15/2013,1/3/2013,System Administrators,,Product Managers,,,,,Customers,,,,,Android phone,,,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,5-10 hours,10-20 hours,None,2-5 hours,1-2 hours,None,1-2 hours,,,,,,No Involvement,,,,,,,,,,C++,C#,,JavaScript,,,,,,,,,,,,,,,C++11,,,,,,Linux,Somewhat Important,Not Very Important,Very Important,Non-Negotiable,Not Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Somewhat Important,Not Very Important,Not Very Important,No,I enjoy going to work,,,Android,,,,,,,,,PS3,Xbox,,"MacBook retina 15""",">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Read other people's questions to solve my problems,,,
India,,25-29,<2,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,,35-39,11,Consulting,1/25/2013,Mobile Application Developer,6/15/2013,1/3/2013,,,Product Managers,,,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,Android tablet,Blackberry,,,,,Direct sales to companies,,,Consulting,,,10-20 hours,2-5 hours,2-5 hours,None,1-2 hours,2-5 hours,5-10 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,"<$1,000",,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows 7,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Not Very Important,Non-Negotiable,Very Important,Non-Negotiable,Not Very Important,Not Very Important,Don't Care,Don't Care,Very Important,Somewhat Important,No,I'm not happy in my job,"$20,000 - $40,000",,Android,,,,,,,Kindle,,,,Wii,,"$501-$1,000",Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,20-24,2/5/2013,Other,1/25/2013,Student,1/5/2013,1/3/2013,,,Product Managers,,,,,,,,,,Android phone,,,,,,,Direct sales to companies,,,,,,2-5 hours,2-5 hours,5-10 hours,None,1-2 hours,1-2 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,Other,Don't know,,C++,,,,,,,,,,,,,,,,,,C++11,,,,,,Windows XP,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Don't Care,Very Important,Somewhat Important,Very Important,Very Important,No,It's a paycheck,"<$20,000",,Android,,,iPad,,,,,,,,,,$251-$500,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,none,1,Read other people's questions to solve my problems,Ask questions to solve problems,,
Other Europe,,25-29,<2,Software Products,26-100,Mobile Application Developer,31-50,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,Mobile app sales,,,,5-10 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,,,,,,No Involvement,,,,,,,,,,,,,,,,,Objective-C,PHP,,,SQL,,,,,,,,,,,,,Mac OS X,Very Important,Not Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Yes,I enjoy going to work,"$60,000 - $80,000",iPhone,,,,iPad,,,,,,,,,,<$100,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Germany,,25-29,11,Software Products,101-999,Full-Stack Web Developer,31-50,4/8/2013,System Administrators,Designers,Product Managers,,Technical Support,Sales / Marketing,,,,,,,,,,,No mobile app,,Direct sales to consumers,,,,,,,10-20 hours,2-5 hours,5-10 hours,None,2-5 hours,1-2 hours,1-2 hours,2-5 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,Don't know,,,,,,,,,,,Python,,,Erlang,,,,,,,,,,,,Linux,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,No,I enjoy going to work,Rather not say,,,,,,,,,Kindle,,,,,Palm,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Other Europe,,30-34,6/10/2013,Other,1/25/2013,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,Finance,Human Resources,iPhone,,Android phone,Android tablet,,,,,Direct sales to consumers,,Software as a service / recurring billing,,,,,10-20 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,1-2 hours,,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,100001,,,C#,,JavaScript,jQuery,,,,PHP,Python,,SQL,,,,,,,,,,MongoDB,,PhoneGap,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,25-29,6/10/2013,Software Products,101-999,Front-End Web Developer,100,9/15/2013,,Designers,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,,,,Mobile app sales,,,,5-10 hours,5-10 hours,5-10 hours,None,2-5 hours,2-5 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,,JavaScript,,,,,PHP,,,,,,,,,,,,,,,PhoneGap,Linux,Not Very Important,Don't Care,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Not Very Important,Don't Care,Non-Negotiable,Don't Care,Not Very Important,Non-Negotiable,Yes,Love my job,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$501-$1,000",Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,None.,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,35-39,6/10/2013,Software Products,26-100,Mobile Application Developer,16-30,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,Customers,,,,,,,,,No mobile app,,,Direct sales to companies,,,Consulting,,,10-20 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,,,,,,Objective-C,,Python,,,Perl,,,,,,,,,,,,Mac OS X,Somewhat Important,Somewhat Important,,Very Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Yes,Love my job,"$40,000 - $60,000",iPhone,,,,iPad,,,,,,,,,,"$501-$1,000",Neutral,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,None,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United Kingdom,,30-34,11,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,New York,35-39,11,Consulting,1/25/2013,Enterprise Level Services,1/5/2013,1/3/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,,,,,Consulting,,,10-20 hours,1-2 hours,10-20 hours,2-5 hours,2-5 hours,1-2 hours,2-5 hours,None,I can recommend or request products,,,,,,,Hardware,Servers,Software,,,,"$1,001 - $5,000",,,C#,Java,,,,,,PHP,,,,,,,,,,,,,,,,Linux,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Not Very Important,Somewhat Important,Non-Negotiable,Not Very Important,Not Very Important,No,I enjoy going to work,Rather not say,,Android,,,,,,,,,PS3,,Wii,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Disagree,Agree,none,10000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United Kingdom,,20-24,<2,Software Products,3001,Full-Stack Web Developer,100,4/8/2013,System Administrators,Designers,Product Managers,,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,Consulting,,,2-5 hours,2-5 hours,2-5 hours,None,1-2 hours,1-2 hours,2-5 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,,,CoffeeScript,,,,,,,,,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,No,I enjoy going to work,"$40,000 - $60,000",,Android,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Germany,,20-24,6/10/2013,Consulting,26-100,IT Staff / System Administrator,1/5/2013,1/3/2013,System Administrators,,,,,,Consultants,Customers,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,I can recommend or request products,,,,,,,Hardware,,Software,,,,Don't know,,,,Java,,,,,,,,,,,,,,,,,,,MongoDB,,,Linux,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,Don't Care,No,Love my job,"<$20,000",,Android,,,,,,,,,,,,,<$100,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Australia,,< 20,2/5/2013,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,35-39,11,Other,1/25/2013,Full-Stack Web Developer,6/15/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,,Finance,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,Consulting,,Other,20+ hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,2-5 hours,None,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",,,C#,,JavaScript,,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Yes,I enjoy going to work,"$40,000 - $60,000",,,,,,,,,,,,,,"PCs, Laptops, very old cellphone...","$1,001-$2,000",Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Careers2.0,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,"review, flag, meta"
United States of America,Georgia,20-24,2/5/2013,Web Services,1/25/2013,Full-Stack Web Developer,6/15/2013,1/3/2013,,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,20+ hours,2-5 hours,2-5 hours,None,None,1-2 hours,2-5 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,Node.js,,,Dart,,C++11,,,,,,Linux,Very Important,Not Very Important,Non-Negotiable,Somewhat Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Very Important,No,I enjoy going to work,"$40,000 - $60,000",iPhone,,,,,,Kindle Fire,,Kindle,,,,Wii,,$251-$500,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Careers 2.0,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,I suggest edits (not enough reputation to outright edit) and flag questions
United States of America,Alabama,35-39,6/10/2013,Software Products,26-100,Desktop Software Developer,6/15/2013,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,Customers,Finance,Human Resources,,,,,,,No mobile app,,Direct sales to consumers,,,,Consulting,,,20+ hours,5-10 hours,2-5 hours,None,1-2 hours,1-2 hours,10-20 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,Don't know,C,C++,C#,,,,,,,,,,,"bash, csh",,,,,,,,,,,,Linux,Somewhat Important,,,,,,,Very Important,,,,,,,,Very Important,No,It's a paycheck,"$80,000 - $100,000",,Android,,,iPad,,,,Kindle,,PS3,,Wii,"Roku, Sonos","$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,None.,100,Read other people's questions to solve my problems,,,
United Kingdom,,51-60,11,Other,101-999,I don't work in tech,1/5/2013,Just me!,System Administrators,Designers,,,Technical Support,,Consultants,Customers,Finance,,iPhone,,,,Blackberry,,,,,,,,,,,,,,,,,,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Mac OS X,,,,,,,,,,,,,,,,,No,Love my job,,iPhone,,,,,,,,,,,,,,"$2,001-$3,000",Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,,1,Read other people's questions to solve my problems,Ask questions to solve problems,,
United States of America,Connecticut,25-29,6/10/2013,Finance / Banking,"1,000-3,000",Enterprise Level Services,100,1/3/2013,System Administrators,,Product Managers,,,,Consultants,,,,,,,,,,No mobile app,,,Direct sales to companies,,,,,,1-2 hours,None,2-5 hours,1-2 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,I can recommend or request products,,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",,,,Java,JavaScript,jQuery,,,,PHP,,,,,Node.js,,,,,,,,MongoDB,,,Windows 7,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Very Important,Very Important,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Don't Care,Don't Care,Yes,It's a paycheck,"$80,000 - $100,000",iPhone,,,,iPad,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,None,500,Read other people's questions to solve my problems,Ask questions to solve problems,,
